datetime,sec_code,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26
2020/6/30,TIP.P,0.387755102,1,0.906976744,0.897959184,0.40625,0.204081633,0.3,0.93877551,0.204081633,0.9375,0.208333333,0.833333333,0.907216495,0.346938776,0.869565217,0.479166667,0.229166667,0.875,0.375,0.204081633,1,0.87755102,0.604166667,-0.043456577,-0.845914422,0.513888889
2020/6/30,TLT.O,0,0.916666667,0.5,0.918367347,0.09375,1,0.5,0.836734694,0.387755102,0.958333333,0.458333333,0.979166667,0.886597938,0.06122449,0.913043478,0.4375,0.020833333,0.979166667,0.166666667,0.183673469,1,0.979591837,0.916666667,0.352499746,1.94E-16,0.527777778
2020/6/30,USO.P,0.693877551,0.5,0.209302326,0.93877551,1,0.959183673,0.5,0.755102041,0.87755102,0.5,0.5,0.5,0.597938144,0.469387755,0.5,0.5,0.5,0.5,0.5,0.142857143,0.804347826,0.387755102,0.5,0.523514093,0.838395166,0.513888889
2020/6/30,VCLT.O,0.857142857,0.104166667,0.5,0.979591837,1,0.020408163,0.5,0.551020408,0.244897959,0.916666667,0.6875,0.9375,0.804123711,0.571428571,0.152173913,0.125,0.208333333,0.916666667,0.125,0.040816327,0.152173913,0.612244898,0.854166667,0.352499746,-0.875524948,0.416666667
2020/6/30,VEGI.P,0.367346939,0.166666667,0.5,1,1,0.530612245,0.6,0.510204082,0.12244898,0.520833333,0.604166667,0.458333333,0.195876289,0.428571429,0.347826087,0.020833333,0.708333333,0.458333333,0.6875,0.816326531,0.239130435,0.489795918,0.145833333,0.352499746,1.94E-16,0.5
2020/6/30,VGK.P,0.714285714,0.6875,0.697674419,0.530612245,1,0.163265306,0.5,0.775510204,0.510204082,0.25,0.541666667,0.145833333,0.288659794,0.693877551,0.369565217,0.875,0.729166667,0.041666667,0.895833333,0.62244898,0.608695652,0.346938776,0.416666667,0.792391707,-1.613574839,0.25
2020/6/30,VONG.O,0.734693878,0.354166667,0.604651163,0.632653061,0.0625,0.836734694,0.15,0.571428571,0.326530612,0.541666667,0.770833333,0.708333333,0.721649485,0.224489796,0.304347826,0.708333333,0.125,0.0625,0.875,0.163265306,0.086956522,0.081632653,0.9375,0.352499746,1.94E-16,0.944444444
2020/6/30,VTIP.O,0.12244898,0.041666667,0.069767442,0.653061224,0.3125,0.714285714,0.5,0.428571429,0.93877551,0.041666667,0.125,0.604166667,0.865979381,0.530612245,0.586956522,0.9375,0.354166667,0.625,0.708333333,0.928571429,0.586956522,0.734693878,0.291666667,0.005691157,0.155877078,0.513888889
2020/6/30,VTWO.O,0.795918367,0.520833333,0.976744186,0.795918367,1,0.265306122,0.6,0.591836735,0.285714286,0.354166667,0.791666667,0.208333333,0.268041237,0.081632653,0.282608696,0.541666667,0.791666667,0.4375,0.770833333,0.734693878,0.108695652,0.142857143,0.166666667,0.352499746,1.94E-16,0.361111111
2020/6/30,VXUS.O,0.632653061,0.875,0.186046512,0.551020408,1,0.326530612,0.975,0.673469388,0.530612245,0.229166667,0.520833333,0.270833333,0.350515464,0.795918367,0.456521739,0.270833333,0.770833333,0.416666667,0.666666667,0.714285714,0.673913043,0.448979592,0.375,0.352499746,1.94E-16,0.222222222
2020/6/30,XLE.P,0.244897959,0.125,1,0.571428571,1,0.183673469,0.05,0.979591837,0.040816327,0.395833333,0.979166667,0.166666667,0,0.163265306,0.086956522,0.145833333,0.625,0.020833333,0.75,0.979591837,1,0,0,0.352499746,1.94E-16,0.333333333
2020/7/31,ACWI.O,0.775510204,0.204081633,0.066666667,1,0.704081633,0.12244898,0.866666667,0,0.408163265,0.270833333,0.5625,0.020833333,0.4,0.346938776,0.173913043,0.979166667,0.375,0.583333333,0.9375,0.775510204,1,0.571428571,0.666666667,0.503979251,3.61E-16,0.75
2020/7/31,BIL.P,0.020408163,0.673469388,0.955555556,1,0.704081633,0.795918367,0.555555556,0.142857143,1,0.979166667,0,0.541666667,1,0,0.695652174,0.666666667,0.708333333,0.479166667,0.270833333,0.693877551,0.289473684,0.387755102,0.0625,0.416221796,-0.62661517,0.513888889
2020/7/31,BNDX.O,0.163265306,0.816326531,0.733333333,1,0.704081633,0.734693878,0.244444444,0.102040816,0.632653061,0.0625,0.041666667,0.625,0.810526316,0.551020408,0.739130435,0.833333333,0.520833333,0.5625,0.354166667,0.540816327,0.315789474,0.469387755,0.458333333,0.503249702,0.930101981,0.513888889
2020/7/31,BWX.P,0.204081633,0.306122449,0.533333333,1,0.326530612,0.653061224,0.555555556,0.040816327,0.979591837,0.041666667,0.1875,0.083333333,0.484210526,0.857142857,0.869565217,0.375,0.395833333,0.291666667,0.3125,0.897959184,0.552631579,0.632653061,0.4375,0.518504056,-0.572890327,0.513888889
2020/7/31,CPER.P,0.285714286,0.020408163,0.4,0.315789474,0.306122449,0.673469388,0.555555556,0.12244898,0.87755102,0.479166667,0.270833333,0.458333333,0.168421053,0.93877551,0.5,0,0.979166667,0.229166667,0.145833333,0.87755102,0.5,0.816326531,0.395833333,0.503979251,3.61E-16,0.694444444
2020/7/31,CQQQ.P,0.87755102,0.591836735,0.822222222,0.736842105,0.102040816,0.857142857,0.288888889,0.081632653,0.714285714,0.791666667,0.458333333,0.75,0.757894737,0.918367347,0.5,0.208333333,0.020833333,0.0625,0.25,0.734693878,1,0.102040816,0.854166667,0.747091907,1.590600576,0.555555556
2020/7/31,DBA.P,0.06122449,0.06122449,0.555555556,0.8,0.704081633,0.816326531,0.555555556,0.06122449,0.06122449,0.770833333,0.166666667,0.520833333,0.021052632,0.959183673,0.782608696,0.8125,0.645833333,0.333333333,0.416666667,0.581632653,0.131578947,0.020408163,0.020833333,0.311604972,-0.998709454,0.513888889
2020/7/31,DVY.O,0.183673469,0.775510204,0.422222222,0.568421053,0.704081633,0.081632653,0.555555556,0.020408163,0.020408163,0.625,0.854166667,0.104166667,0.073684211,0.020408163,0.434782609,0.25,0.6875,0.104166667,1,0.285714286,1,0.204081633,0.125,0.503979251,3.61E-16,0.5
2020/7/31,EFA.P,0.653061224,0.612244898,0.688888889,0.126315789,0.704081633,0.224489796,0.555555556,0.387755102,0.326530612,0.25,0.479166667,0.145833333,0.315789474,0.244897959,0.260869565,0.6875,0.8125,0.3125,0.916666667,0.397959184,1,0.87755102,0.229166667,0.503979251,3.61E-16,0.166666667
2020/7/31,EMB.O,0.857142857,0.163265306,0.155555556,0.442105263,0.704081633,0.040816327,0.555555556,0.285714286,0.755102041,0.083333333,0.229166667,0.041666667,0.568421053,0.653061224,0.52173913,0.104166667,0.583333333,0.833333333,0.291666667,0.12244898,1,0.306122449,0.645833333,0.503979251,0.234199749,0.444444444
2020/7/31,EWA.P,0.489795918,0.693877551,0.355555556,0.4,0.704081633,0.346938776,0.555555556,0.551020408,0.346938776,0.1875,0.958333333,0.375,0.273684211,0.224489796,0.391304348,0.770833333,0.916666667,0.270833333,0.8125,0.479591837,1,0.775510204,0.520833333,0.271312687,1.145750787,0.055555556
2020/7/31,EWG.P,0.591836735,0.632653061,0.844444444,0.210526316,0.704081633,0.387755102,0.033333333,0.714285714,0.612244898,0.520833333,0.645833333,0.25,0.4,0.448979592,0.195652174,0.145833333,0.958333333,0.166666667,0.583333333,0.397959184,1,0.959183673,0.541666667,0.503979251,3.61E-16,0.888888889
2020/7/31,EWH.P,0.265306122,0.979591837,0.133333333,0.189473684,0.704081633,0.612244898,0.555555556,0.775510204,0.040816327,0.8125,0.354166667,0.4375,0.105263158,0.591836735,0.413043478,0.75,0.791666667,0.604166667,0.395833333,0.673469388,0.526315789,0.530612245,0.083333333,0.503979251,3.61E-16,0.472222222
2020/7/31,EWJ.P,0.346938776,0.714285714,0.266666667,0.021052632,0.704081633,0.428571429,0.555555556,0.857142857,0.12244898,0.645833333,0.375,0.208333333,0.357894737,0.163265306,0.891304348,0.395833333,0.833333333,0.6875,0.5625,0.979591837,1,0.693877551,0.208333333,0.232671524,0.549980286,0.361111111
2020/7/31,EWQ.P,0.571428571,0.551020408,0.777777778,0,0.704081633,0.448979592,0.555555556,0.979591837,0.387755102,0.5625,0.625,0.395833333,0.189473684,0.306122449,0.369565217,0.166666667,0.770833333,0.208333333,0.520833333,0.479591837,1,1,0.375,0.503979251,3.61E-16,0.083333333
2020/7/31,EWT.P,0.755102041,0.530612245,0.511111111,0.273684211,0.346938776,0.244897959,0.933333333,0.897959184,0.816326531,0.291666667,0.333333333,0.770833333,0.515789474,0.673469388,0.956521739,0.229166667,0.145833333,0.1875,0.625,0.142857143,0.605263158,0.612244898,0.791666667,0.301025463,-1.253299725,0.833333333
2020/7/31,EWU.P,0.224489796,0.653061224,0.977777778,0.084210526,0.704081633,0.408163265,0.033333333,1,0.102040816,0.333333333,0.604166667,0.354166667,0.042105263,0.183673469,0.456521739,0.4375,0.75,0.125,0.791666667,0.612244898,1,0.897959184,0.041666667,0.356390577,1.365245182,0.222222222
2020/7/31,EWY.P,0.551020408,0.387755102,0.644444444,0.105263158,0.704081633,0.204081633,0.555555556,0.959183673,0.510204082,0.729166667,0.875,0,0.4,0.775510204,0.586956522,0.5,0.229166667,0.395833333,0.5,0.306122449,1,0.714285714,0.479166667,0.503979251,3.61E-16,0.305555556
2020/7/31,EWZ.P,0.816326531,0.87755102,0.333333333,0.042105263,0.704081633,0.285714286,0.955555556,0.918367347,0.428571429,0.541666667,1,0.333333333,0.073684211,0.469387755,0.217391304,0.791666667,0.666666667,0.083333333,0.458333333,0.204081633,1,0.93877551,0.708333333,0.619569913,1.434542698,0.138888889
2020/7/31,FLOT.P,0.102040816,0.408163265,0.288888889,0.063157895,0.704081633,0.551020408,0.844444444,0.816326531,0.836734694,0.104166667,0.25,0.125,0.715789474,0.265306122,0.760869565,0.645833333,0.604166667,0.541666667,0.541666667,0.632653061,0.236842105,0.346938776,0.145833333,0.435525633,1.174976116,0.513888889
2020/7/31,GLD.P,0.918367347,0.142857143,0.111111111,0.505263158,0.020408163,0.775510204,0.5,0.734693878,0.795918367,0.875,0.291666667,0.916666667,0.926315789,1,1,0.708333333,0.104166667,0.020833333,0.104166667,0.714285714,0,0.081632653,0.9375,1.056655359,-1.302865973,0.777777778
2020/7/31,HYG.P,0.795918367,0.959183673,0.244444444,0.652631579,0.704081633,0.06122449,0.911111111,0.673469388,0.306122449,0.854166667,0.3125,0.0625,0.463157895,0.06122449,0.565217391,0.0625,0.5,0.645833333,0.708333333,0.163265306,1,0.142857143,0.5625,0.492801828,-1.365145641,0.666666667
2020/7/31,IAGG.B,0.142857143,0.489795918,0.044444444,0.631578947,0.704081633,0.755102041,0.822222222,0.612244898,0.93877551,0,0.0625,0.604166667,0.863157895,0.632653061,0.673913043,0.729166667,0.5625,0.458333333,0.333333333,0.918367347,0.368421053,0.510204082,0.5,0.498544474,0.729243902,0.513888889
2020/7/31,IBB.O,0.693877551,0.428571429,0.577777778,0.168421053,1,1,0.266666667,0.93877551,0,0.75,0.4375,0.895833333,0.842105263,0.040816327,0.043478261,0.958333333,1,0.979166667,0.229166667,0.540816327,1,0.918367347,0.770833333,0.503979251,-1.365145641,0.722222222
2020/7/31,ICLN.O,0.428571429,0.326530612,0.6,0.231578947,0.244897959,0.918367347,0.555555556,0.836734694,0.775510204,0.125,0.8125,0.583333333,0.610526316,0.897959184,0.326086957,0.041666667,0.0625,0.375,0.0625,0.826530612,0.421052632,0.795918367,1,0.503979251,1.473648536,0.805555556
2020/7/31,IEF.O,0.306122449,0.857142857,0.866666667,0.357894737,0.163265306,0.897959184,0.155555556,0.795918367,0.142857143,0.895833333,0.145833333,0.875,1,0.612244898,0.652173913,0.083333333,0.270833333,0.875,0.166666667,0.448979592,0.184210526,0.244897959,0.6875,0.573767878,0.510418546,0.513888889
2020/7/31,IEMG.P,0.673469388,0.265306122,0.088888889,0.336842105,0.704081633,0.367346939,0.088888889,0.755102041,0.693877551,0.354166667,0.541666667,0.1875,0.315789474,0.693877551,0.543478261,0.354166667,0.291666667,0.854166667,0.6875,0.224489796,0.684210526,0.734693878,0.583333333,0.503979251,3.61E-16,0.111111111
2020/7/31,IGOV.O,0.326530612,0.102040816,0.933333333,0.421052632,0.387755102,0.591836735,0.555555556,0.693877551,0.959183673,0.166666667,0.083333333,0.791666667,0.515789474,0.87755102,0.934782609,0.583333333,0.354166667,0.729166667,0.208333333,0.826530612,0.657894737,0.591836735,0.3125,0.511518774,-0.618203441,0.513888889
2020/7/31,INDA.B,0.448979592,0.244897959,0.488888889,0.252631579,0.704081633,0.469387755,0.888888889,0.653061224,0.673469388,0.604166667,0.916666667,0.416666667,0.126315789,0.387755102,0.5,0.333333333,0.541666667,0.354166667,0.604166667,0.326530612,0.578947368,0.857142857,0.291666667,0.406569563,0.68234023,0.583333333
2020/7/31,IUSG.O,0.836734694,1,0.888888889,0.610526316,0.040816327,0.102040816,0.177777778,0.591836735,0.448979592,0.4375,0.833333333,0.833333333,0.673684211,0.408163265,0.086956522,0.125,0.208333333,0.708333333,0.833333333,0.183673469,1,0.265306122,0.8125,0.503979251,3.61E-16,0.916666667
